celebrity_name,ballroom_partner,season,placement,results,week,total_score,n_judges,max_score,normalized,pct
John O'Hurley,Charlotte Jorgensen,1,2,2nd Place,1,20.0,3,30,0.6667,66.67
Kelly Monaco,Alec Mazo,1,1,1st Place,1,13.0,3,30,0.4333,43.33
Evander Holyfield,Edyta Sliwinska,1,5,Eliminated Week 3,1,18.0,3,30,0.6,60.0
Rachel Hunter,Jonathan Roberts,1,4,Eliminated Week 4,1,20.0,3,30,0.6667,66.67
Joey McIntyre,Ashly DelGrosso,1,3,3rd Place,1,20.0,3,30,0.6667,66.67
Trista Sutter,Louis van Amstel,1,6,Eliminated Week 2,1,18.0,3,30,0.6,60.0
Tatum O'Neal,Nick Kosovich,2,9,Eliminated Week 2,1,23.0,3,30,0.7667,76.67
Tia Carrere,Maksim Chmerkoskiy,2,6,Eliminated Week 5,1,20.0,3,30,0.6667,66.67
George Hamilton,Edyta Sliwinska,2,5,Eliminated Week 6,1,18.0,3,30,0.6,60.0
Lisa Rinna,Louis van Amstel,2,4,Eliminated Week 7,1,19.0,3,30,0.6333,63.33
Stacy Keibler,Tony Dovolani,2,3,3rd Place,1,22.0,3,30,0.7333,73.33
Jerry Rice,Anna Trebunskaya,2,2,2nd Place,1,21.0,3,30,0.7,70.0
Giselle Fernandez,Jonathan Roberts,2,8,Eliminated Week 3,1,23.0,3,30,0.7667,76.67
Master P,Ashly DelGrosso,2,7,Eliminated Week 4,1,12.0,3,30,0.4,40.0
Drew Lachey,Cheryl Burke,2,1,1st Place,1,24.0,3,30,0.8,80.0
Kenny Mayne,Andrea Hale,2,10,Eliminated Week 1,1,13.0,3,30,0.4333,43.33
Harry Hamlin,Ashly DelGrosso,3,9,Eliminated Week 3,1,17.0,3,30,0.5667,56.67
Vivica A. Fox,Nick Kosovich,3,8,Eliminated Week 4,1,22.0,3,30,0.7333,73.33
Monique Coleman,Louis van Amstel,3,4,Eliminated Week 8,1,19.0,3,30,0.6333,63.33
Joey Lawrence,Edyta Sliwinska,3,3,3rd Place,1,21.0,3,30,0.7,70.0
Mario Lopez,Karina Smirnoff,3,2,2nd Place,1,26.0,3,30,0.8667,86.67
Emmitt Smith,Cheryl Burke,3,1,1st Place,1,24.0,3,30,0.8,80.0
Shanna Moakler,Jesse DeSoto,3,10,Eliminated Week 2,1,18.0,3,30,0.6,60.0
Willa Ford,Maksim Chmerkoskiy,3,7,Eliminated Week 5,1,22.0,3,30,0.7333,73.33
Sara Evans,Tony Dovolani,3,6,Withdrew,1,15.0,3,30,0.5,50.0
Jerry Springer,Kym Johnson,3,5,Eliminated Week 7,1,16.0,3,30,0.5333,53.33
Tucker Carlson,Elena Grinenko,3,11,Eliminated Week 1,1,12.0,3,30,0.4,40.0
John Ratzenberger,Edyta Sliwinska,4,6,Eliminated Week 7,1,17.0,3,30,0.5667,56.67
Ian Ziering,Cheryl Burke,4,4,Eliminated Week 9,1,21.0,3,30,0.7,70.0
Clyde Drexler,Elena Grinenko,4,8,Eliminated Week 5,1,16.0,3,30,0.5333,53.33
Laila Ali,Maksim Chmerkoskiy,4,3,3rd Place,1,23.0,3,30,0.7667,76.67
Apolo Anton Ohno,Julianne Hough,4,1,1st Place,1,21.0,3,30,0.7,70.0
Shandi Finnessey,Brian Fortuna,4,10,Eliminated Week 3,1,19.0,3,30,0.6333,63.33
Paulina Porizkova,Alec Mazo,4,11,Eliminated Week 2,1,19.0,3,30,0.6333,63.33
Heather Mills,Jonathan Roberts,4,7,Eliminated Week 6,1,18.0,3,30,0.6,60.0
Billy Ray Cyrus,Karina Smirnoff,4,5,Eliminated Week 8,1,13.0,3,30,0.4333,43.33
Joey Fatone,Kym Johnson,4,2,2nd Place,1,24.0,3,30,0.8,80.0
Leeza Gibbons,Tony Dovolani,4,9,Eliminated Week 4,1,15.0,3,30,0.5,50.0
Cameron Mathison,Edyta Sliwinska,5,5,Eliminated Week 8,1,21.0,3,30,0.7,70.0
Jane Seymour,Tony Dovolani,5,6,Eliminated Week 7,1,24.0,3,30,0.8,80.0
Sabrina Bryan,Mark Ballas,5,7,Eliminated Week 6,1,26.0,3,30,0.8667,86.67
Jennie Garth,Derek Hough,5,4,Eliminated Week 9,1,21.0,3,30,0.7,70.0
Floyd Mayweather Jr. ,Karina Smirnoff,5,9,Eliminated Week 4,1,18.0,3,30,0.6,60.0
Josie Maran,Alec Mazo,5,12,Eliminated Week 1,1,16.0,3,30,0.5333,53.33
Albert Reed,Anna Trebunskaya,5,11,Eliminated Week 2,1,21.0,3,30,0.7,70.0
Helio Castroneves,Julianne Hough,5,1,1st Place,1,25.0,3,30,0.8333,83.33
Mel B,Maksim Chmerkoskiy,5,2,2nd Place,1,24.0,3,30,0.8,80.0
Wayne Newton,Cheryl Burke,5,10,Eliminated Week 3,1,19.0,3,30,0.6333,63.33
Marie Osmond,Jonathan Roberts,5,3,3rd Place,1,21.0,3,30,0.7,70.0
Mark Cuban,Kym Johnson,5,8,Eliminated Week 5,1,21.0,3,30,0.7,70.0
Cristian de la Fuente,Cheryl Burke,6,3,3rd Place,1,21.0,3,30,0.7,70.0
Steve Guttenberg,Anna Trebunskaya,6,10,Eliminated Week 3,1,18.0,3,30,0.6,60.0
Priscilla Presley,Louis van Amstel,6,8,Eliminated Week 5,1,24.0,3,30,0.8,80.0
Marlee Matlin,Fabian Sanchez,6,7,Eliminated Week 6,1,22.0,3,30,0.7333,73.33
