season,week,rule,consistency,n_samples,n_attempts
1,1,rank,,800,800
1,2,rank,0.40875,800,3465
1,3,rank,0.73125,800,1222
1,4,rank,0.35875,800,3762
1,5,rank,,800,800
1,6,rank,,800,800
2,1,rank,0.71,800,2420
2,2,rank,1.0,800,2373
2,3,rank,0.6175,800,3481
2,4,rank,0.69875,800,1573
2,5,rank,1.0,800,1414
2,6,rank,1.0,800,1987
2,7,rank,1.0,800,1708
2,8,rank,,800,800
3,1,percentage,1.0,800,1993
3,2,percentage,1.0,800,7816
3,3,percentage,1.0,800,6542
3,4,percentage,1.0,800,6428
3,5,percentage,1.0,800,8952
3,6,percentage,,800,800
3,7,percentage,1.0,800,2215
3,8,percentage,1.0,800,2991
3,9,percentage,,800,800
3,10,percentage,,800,800
4,1,percentage,,800,800
4,2,percentage,1.0,800,7806
4,3,percentage,1.0,800,7983
4,4,percentage,1.0,800,3216
4,5,percentage,1.0,800,1863
4,6,percentage,1.0,800,5349
4,7,percentage,1.0,800,3133
4,8,percentage,1.0,800,1893
4,9,percentage,1.0,800,2862
4,10,percentage,,800,800
5,1,percentage,1.0,800,2412
5,2,percentage,1.0,800,11564
5,3,percentage,1.0,800,2330
5,4,percentage,1.0,800,3371
5,5,percentage,1.0,800,2879
5,6,percentage,1.0,800,5349
5,7,percentage,1.0,800,3504
5,8,percentage,1.0,800,3577
5,9,percentage,1.0,800,3038
5,10,percentage,,800,800
6,1,percentage,,800,800
6,2,percentage,1.0,800,6977
6,3,percentage,1.0,800,5363
6,4,percentage,1.0,800,2085
6,5,percentage,1.0,800,3030
6,6,percentage,1.0,800,2332
6,7,percentage,1.0,800,4550
6,8,percentage,1.0,800,3942
6,9,percentage,1.0,800,2487
6,10,percentage,,800,800
7,1,percentage,1.0,800,13360
7,2,percentage,1.0,800,4599
7,3,percentage,,800,800
7,4,percentage,1.0,800,2446
7,5,percentage,1.0,800,4503
7,6,percentage,1.0,800,1722
7,7,percentage,1.0,800,5096
7,8,percentage,1.0,800,2918
7,9,percentage,1.0,800,2342
7,10,percentage,,800,800
8,1,percentage,,800,800
8,2,percentage,1.0,800,8137
8,3,percentage,1.0,800,5305
8,4,percentage,1.0,800,5055
8,5,percentage,1.0,800,6652
8,6,percentage,1.0,800,2004
8,7,percentage,1.0,800,2128
8,8,percentage,1.0,800,4343
8,9,percentage,1.0,800,3616
8,10,percentage,1.0,800,2200
8,11,percentage,,800,800
9,1,percentage,1.0,800,11584
9,2,percentage,1.0,800,4309
9,3,percentage,1.0,800,6691
9,4,percentage,1.0,800,4045
9,5,percentage,1.0,800,4371
9,6,percentage,1.0,800,8431
9,7,percentage,1.0,800,6985
9,8,percentage,1.0,800,3108
9,9,percentage,1.0,800,3430
9,10,percentage,,800,800
10,1,percentage,,800,800
10,2,percentage,1.0,800,22317
10,3,percentage,1.0,800,1809
10,4,percentage,1.0,800,3107
10,5,percentage,1.0,800,2181
10,6,percentage,1.0,800,2568
10,7,percentage,1.0,800,4435
10,8,percentage,1.0,800,2223
10,9,percentage,1.0,800,2407
10,10,percentage,,800,800
11,1,percentage,1.0,800,3537
11,2,percentage,1.0,800,1751
11,3,percentage,1.0,800,2705
11,4,percentage,1.0,800,2326
11,5,percentage,1.0,800,4589
11,6,percentage,1.0,800,13075
11,7,percentage,1.0,800,4651
11,8,percentage,1.0,800,2612
11,9,percentage,1.0,800,3246
11,10,percentage,,800,800
12,1,percentage,,800,800
12,2,percentage,1.0,800,3826
12,3,percentage,1.0,800,1924
12,4,percentage,1.0,800,4642
12,5,percentage,1.0,800,3834
12,6,percentage,1.0,800,2659
12,7,percentage,1.0,800,4059
12,8,percentage,1.0,800,4037
12,9,percentage,1.0,800,2012
12,10,percentage,,800,800
13,1,percentage,1.0,800,2782
13,2,percentage,1.0,800,19632
13,3,percentage,1.0,800,12212
13,4,percentage,1.0,800,4088
13,5,percentage,1.0,800,2214
13,6,percentage,1.0,800,2446
13,7,percentage,1.0,800,3944
13,8,percentage,1.0,800,2196
13,9,percentage,1.0,800,2068
13,10,percentage,,800,800
14,1,percentage,,800,800
14,2,percentage,1.0,800,2365
14,3,percentage,1.0,800,5557
14,4,percentage,1.0,800,4116
14,5,percentage,1.0,800,2308
14,6,percentage,1.0,800,2150
14,7,percentage,1.0,800,4674
14,8,percentage,1.0,800,10887
14,9,percentage,1.0,800,3730
14,10,percentage,,800,800
15,1,percentage,1.0,800,2519
15,2,percentage,1.0,800,9901
15,3,percentage,1.0,800,34588
15,4,percentage,1.0,800,3685
15,5,percentage,,800,800
15,6,percentage,1.0,800,14384
15,7,percentage,,800,800
15,8,percentage,1.0,800,12843
15,9,percentage,1.0,800,7766
15,10,percentage,,800,800
16,1,percentage,,800,800
16,2,percentage,,800,800
16,3,percentage,1.0,800,2313
16,4,percentage,1.0,800,2905
16,5,percentage,1.0,800,2578
16,6,percentage,1.0,800,2661
16,7,percentage,1.0,800,1645
16,8,percentage,1.0,800,2185
16,9,percentage,1.0,800,2603
16,10,percentage,1.0,800,3121
17,1,percentage,,800,800
17,2,percentage,1.0,800,3359
17,3,percentage,1.0,800,2297
17,4,percentage,1.0,800,2204
17,5,percentage,1.0,800,19415
17,6,percentage,,800,800
17,7,percentage,1.0,800,5324
17,8,percentage,1.0,800,5813
17,9,percentage,1.0,800,8380
17,10,percentage,1.0,800,3143
17,11,percentage,1.0,800,2335
18,1,percentage,,800,800
18,2,percentage,1.0,800,7336
18,3,percentage,,800,800
18,4,percentage,,800,800
18,5,percentage,1.0,800,5214
18,6,percentage,1.0,800,3485
18,7,percentage,1.0,800,3013
18,8,percentage,1.0,800,5230
18,9,percentage,1.0,800,3699
18,10,percentage,1.0,800,3330
19,1,percentage,1.0,800,3223
19,2,percentage,1.0,800,6825
19,3,percentage,1.0,800,2844
19,4,percentage,1.0,800,6917
19,5,percentage,,800,800
19,6,percentage,1.0,800,8284
19,7,percentage,1.0,800,3859
19,8,percentage,1.0,800,1979
19,9,percentage,1.0,800,4554
19,10,percentage,1.0,800,2144
19,11,percentage,1.0,800,2734
20,1,percentage,,800,800
20,2,percentage,1.0,800,40212
20,3,percentage,1.0,800,2943
20,4,percentage,1.0,800,5475
20,5,percentage,1.0,800,5531
20,6,percentage,1.0,800,4675
20,7,percentage,1.0,800,11842
20,8,percentage,1.0,800,6024
20,9,percentage,1.0,800,3357
20,10,percentage,,800,800
21,1,percentage,,800,800
21,2,percentage,1.0,800,10387
21,3,percentage,,800,800
21,4,percentage,1.0,800,2018
21,5,percentage,,800,800
21,6,percentage,1.0,800,1992
21,7,percentage,1.0,800,7624
21,8,percentage,1.0,800,2821
21,9,percentage,1.0,800,10373
21,10,percentage,,800,800
21,11,percentage,1.0,800,3505
22,1,percentage,,800,800
22,2,percentage,1.0,800,2026
22,3,percentage,1.0,800,3030
22,4,percentage,1.0,800,4611
22,5,percentage,,800,800
22,6,percentage,1.0,800,2520
22,7,percentage,1.0,800,15721
22,8,percentage,1.0,800,9051
22,9,percentage,1.0,800,8112
22,10,percentage,,800,800
23,1,percentage,,800,800
23,2,percentage,1.0,800,5369
23,3,percentage,1.0,800,3589
23,4,percentage,1.0,800,15597
23,5,percentage,,800,800
23,6,percentage,1.0,800,2701
23,7,percentage,1.0,800,4552
23,8,percentage,1.0,800,4095
23,9,percentage,1.0,800,3584
23,10,percentage,1.0,800,4883
23,11,percentage,1.0,800,2321
24,1,percentage,,800,800
24,2,percentage,1.0,800,2904
24,3,percentage,1.0,800,3734
24,4,percentage,1.0,800,3175
24,5,percentage,1.0,800,5301
24,6,percentage,1.0,800,21540
24,7,percentage,1.0,800,14061
24,8,percentage,1.0,800,2196
24,9,percentage,1.0,800,4374
