season,week,rule,consistency,n_samples,n_attempts
1,1,rank,,1000,1000
1,2,rank,0.417,1000,4382
1,3,rank,0.745,1000,1619
1,4,rank,0.415,1000,4974
1,5,rank,,1000,1000
1,6,rank,,1000,1000
2,1,rank,0.702,1000,2901
2,2,rank,1.0,1000,2824
2,3,rank,0.672,1000,4303
2,4,rank,0.715,1000,1875
2,5,rank,1.0,1000,1788
2,6,rank,1.0,1000,2314
2,7,rank,1.0,1000,2207
2,8,rank,,1000,1000
3,1,percentage,1.0,1000,3056
3,2,percentage,1.0,1000,8899
3,3,percentage,1.0,1000,7477
3,4,percentage,1.0,1000,7433
3,5,percentage,1.0,1000,9790
3,6,percentage,,1000,1000
3,7,percentage,1.0,1000,3247
3,8,percentage,1.0,1000,3813
3,9,percentage,,1000,1000
3,10,percentage,,1000,1000
4,1,percentage,,1000,1000
4,2,percentage,1.0,1000,8803
4,3,percentage,1.0,1000,8871
4,4,percentage,1.0,1000,4206
4,5,percentage,1.0,1000,2597
4,6,percentage,1.0,1000,5842
4,7,percentage,1.0,1000,4150
4,8,percentage,1.0,1000,2687
4,9,percentage,1.0,1000,3613
4,10,percentage,,1000,1000
5,1,percentage,1.0,1000,3708
5,2,percentage,1.0,1000,11981
5,3,percentage,1.0,1000,3624
5,4,percentage,1.0,1000,5255
5,5,percentage,1.0,1000,4231
5,6,percentage,1.0,1000,6426
5,7,percentage,1.0,1000,5191
5,8,percentage,1.0,1000,4674
5,9,percentage,1.0,1000,3905
5,10,percentage,,1000,1000
6,1,percentage,,1000,1000
6,2,percentage,1.0,1000,13291
6,3,percentage,1.0,1000,6780
6,4,percentage,1.0,1000,3509
6,5,percentage,1.0,1000,4487
6,6,percentage,1.0,1000,3545
6,7,percentage,1.0,1000,6111
6,8,percentage,1.0,1000,4381
6,9,percentage,1.0,1000,3513
6,10,percentage,,1000,1000
7,1,percentage,1.0,1000,20648
7,2,percentage,1.0,1000,5590
7,3,percentage,,1000,1000
7,4,percentage,1.0,1000,3881
7,5,percentage,1.0,1000,5984
7,6,percentage,1.0,1000,2525
7,7,percentage,1.0,1000,5789
7,8,percentage,1.0,1000,3969
7,9,percentage,1.0,1000,3226
7,10,percentage,,1000,1000
8,1,percentage,,1000,1000
8,2,percentage,1.0,1000,9264
8,3,percentage,1.0,1000,6219
8,4,percentage,1.0,1000,8424
8,5,percentage,1.0,1000,7520
8,6,percentage,1.0,1000,2887
8,7,percentage,1.0,1000,3607
8,8,percentage,1.0,1000,5671
8,9,percentage,1.0,1000,4510
8,10,percentage,1.0,1000,2898
8,11,percentage,,1000,1000
9,1,percentage,1.0,1000,20490
9,2,percentage,1.0,1000,6916
9,3,percentage,1.0,1000,7901
9,4,percentage,1.0,1000,5231
