season,week,rule,consistency,n_samples,n_accepted,n_steps,accept_rate
1,1,rank,,1000,2000,2000,1.0
1,2,rank,0.415,1000,1207,2000,0.6035
1,3,rank,0.762,1000,1658,2000,0.829
1,4,rank,0.328,1000,1093,2000,0.5465
1,5,rank,,1000,2000,2000,1.0
1,6,rank,,1000,2000,2000,1.0
2,1,rank,0.694,1000,1395,2000,0.6975
2,2,rank,1.0,1000,1422,2000,0.711
2,3,rank,0.649,1000,1255,2000,0.6275
2,4,rank,0.735,1000,1554,2000,0.777
2,5,rank,1.0,1000,1573,2000,0.7865
2,6,rank,1.0,1000,1479,2000,0.7395
2,7,rank,1.0,1000,1493,2000,0.7465
2,8,rank,,1000,2000,2000,1.0
3,1,percentage,1.0,1000,1510,2000,0.755
3,2,percentage,1.0,1000,998,2000,0.499
3,3,percentage,1.0,1000,1056,2000,0.528
3,4,percentage,1.0,1000,1117,2000,0.5585
3,5,percentage,1.0,1000,1031,2000,0.5155
3,6,percentage,,1000,2000,2000,1.0
3,7,percentage,1.0,1000,1447,2000,0.7235
3,8,percentage,1.0,1000,1360,2000,0.68
3,9,percentage,,1000,2000,2000,1.0
3,10,percentage,,1000,2000,2000,1.0
4,1,percentage,,1000,2000,2000,1.0
4,2,percentage,1.0,1000,1078,2000,0.539
4,3,percentage,1.0,1000,1062,2000,0.531
4,4,percentage,1.0,1000,1323,2000,0.6615
4,5,percentage,1.0,1000,1545,2000,0.7725
4,6,percentage,1.0,1000,1159,2000,0.5795
4,7,percentage,1.0,1000,1287,2000,0.6435
4,8,percentage,1.0,1000,1526,2000,0.763
4,9,percentage,1.0,1000,1373,2000,0.6865
4,10,percentage,,1000,2000,2000,1.0
5,1,percentage,1.0,1000,1362,2000,0.681
5,2,percentage,1.0,1000,942,2000,0.471
5,3,percentage,1.0,1000,1400,2000,0.7
5,4,percentage,1.0,1000,1260,2000,0.63
5,5,percentage,1.0,1000,1315,2000,0.6575
5,6,percentage,1.0,1000,1188,2000,0.594
5,7,percentage,1.0,1000,1283,2000,0.6415
5,8,percentage,1.0,1000,1225,2000,0.6125
5,9,percentage,1.0,1000,1298,2000,0.649
5,10,percentage,,1000,2000,2000,1.0
6,1,percentage,,1000,2000,2000,1.0
6,2,percentage,1.0,1000,978,2000,0.489
6,3,percentage,1.0,1000,1114,2000,0.557
6,4,percentage,1.0,1000,1442,2000,0.721
6,5,percentage,1.0,1000,1345,2000,0.6725
6,6,percentage,1.0,1000,1359,2000,0.6795
6,7,percentage,1.0,1000,1171,2000,0.5855
6,8,percentage,1.0,1000,1207,2000,0.6035
6,9,percentage,1.0,1000,1366,2000,0.683
6,10,percentage,,1000,2000,2000,1.0
7,1,percentage,1.0,1000,854,2000,0.427
7,2,percentage,1.0,1000,1128,2000,0.564
7,3,percentage,,1000,2000,2000,1.0
7,4,percentage,1.0,1000,1314,2000,0.657
7,5,percentage,1.0,1000,1255,2000,0.6275
7,6,percentage,1.0,1000,1565,2000,0.7825
7,7,percentage,1.0,1000,1156,2000,0.578
7,8,percentage,1.0,1000,1334,2000,0.667
7,9,percentage,1.0,1000,1415,2000,0.7075
7,10,percentage,,1000,2000,2000,1.0
8,1,percentage,,1000,2000,2000,1.0
8,2,percentage,1.0,1000,1069,2000,0.5345
8,3,percentage,1.0,1000,1113,2000,0.5565
8,4,percentage,1.0,1000,1159,2000,0.5795
8,5,percentage,1.0,1000,1106,2000,0.553
8,6,percentage,1.0,1000,1480,2000,0.74
8,7,percentage,1.0,1000,1471,2000,0.7355
8,8,percentage,1.0,1000,1180,2000,0.59
8,9,percentage,1.0,1000,1258,2000,0.629
8,10,percentage,1.0,1000,1480,2000,0.74
8,11,percentage,,1000,2000,2000,1.0
9,1,percentage,1.0,1000,840,2000,0.42
9,2,percentage,1.0,1000,1225,2000,0.6125
9,3,percentage,1.0,1000,1136,2000,0.568
9,4,percentage,1.0,1000,1214,2000,0.607
9,5,percentage,1.0,1000,1144,2000,0.572
9,6,percentage,1.0,1000,951,2000,0.4755
9,7,percentage,1.0,1000,948,2000,0.474
