season,total_weeks,match_same,accuracy_same,match_cross,accuracy_cross,rule_used
1,6,2,0.3333333333333333,3,0.5,rank
2,8,7,0.875,7,0.875,rank
3,10,7,0.7,6,0.6,percentage
4,10,8,0.8,8,0.8,percentage
5,10,9,0.9,9,0.9,percentage
6,10,8,0.8,7,0.7,percentage
7,10,7,0.7,7,0.7,percentage
8,11,9,0.8181818181818182,9,0.8181818181818182,percentage
9,10,8,0.8,8,0.8,percentage
10,10,8,0.8,8,0.8,percentage
11,10,9,0.9,9,0.9,percentage
12,10,8,0.8,7,0.7,percentage
13,10,9,0.9,8,0.8,percentage
14,10,7,0.7,6,0.6,percentage
15,10,4,0.4,3,0.3,percentage
16,10,8,0.8,8,0.8,percentage
17,11,9,0.8181818181818182,8,0.7272727272727273,percentage
18,10,7,0.7,7,0.7,percentage
19,11,10,0.9090909090909091,10,0.9090909090909091,percentage
20,10,8,0.8,7,0.7,percentage
21,11,6,0.5454545454545454,4,0.36363636363636365,percentage
22,10,7,0.7,6,0.6,percentage
23,11,9,0.8181818181818182,8,0.7272727272727273,percentage
24,10,7,0.7,6,0.6,percentage
25,10,8,0.8,8,0.8,percentage
26,4,2,0.5,2,0.5,percentage
27,9,5,0.5555555555555556,5,0.5555555555555556,percentage
28,11,7,0.6363636363636364,7,0.6363636363636364,rank
29,11,9,0.8181818181818182,9,0.8181818181818182,rank
30,10,8,0.8,6,0.6,rank
31,10,9,0.9,7,0.7,rank
32,11,8,0.7272727272727273,9,0.8181818181818182,rank
33,9,5,0.5555555555555556,4,0.4444444444444444,rank
34,11,8,0.7272727272727273,8,0.7272727272727273,rank
