season,total_weeks,match_same,match_cross,accuracy_same,accuracy_cross,rule_used
1,6,2,3,0.3333333333333333,0.5,rank
2,8,7,7,0.875,0.875,rank
3,10,7,6,0.7,0.6,percentage
4,10,8,8,0.8,0.8,percentage
5,10,9,9,0.9,0.9,percentage
6,10,8,7,0.8,0.7,percentage
7,10,7,7,0.7,0.7,percentage
8,11,9,9,0.8181818181818182,0.8181818181818182,percentage
9,10,8,8,0.8,0.8,percentage
10,10,8,8,0.8,0.8,percentage
11,10,9,9,0.9,0.9,percentage
12,10,8,7,0.8,0.7,percentage
13,10,9,8,0.9,0.8,percentage
14,10,7,6,0.7,0.6,percentage
15,10,4,3,0.4,0.3,percentage
16,10,8,8,0.8,0.8,percentage
17,11,9,8,0.8181818181818182,0.7272727272727273,percentage
18,10,7,7,0.7,0.7,percentage
19,11,10,10,0.9090909090909091,0.9090909090909091,percentage
20,10,8,7,0.8,0.7,percentage
21,11,6,4,0.5454545454545454,0.36363636363636365,percentage
22,10,7,6,0.7,0.6,percentage
23,11,9,8,0.8181818181818182,0.7272727272727273,percentage
24,10,7,6,0.7,0.6,percentage
25,10,8,8,0.8,0.8,percentage
26,4,2,2,0.5,0.5,percentage
27,9,5,5,0.5555555555555556,0.5555555555555556,percentage
28,11,7,7,0.6363636363636364,0.6363636363636364,rank
29,11,9,9,0.8181818181818182,0.8181818181818182,rank
30,10,8,6,0.8,0.6,rank
31,10,9,7,0.9,0.7,rank
32,11,8,9,0.7272727272727273,0.8181818181818182,rank
33,9,5,4,0.5555555555555556,0.4444444444444444,rank
34,11,8,8,0.7272727272727273,0.7272727272727273,rank
