season,week,rule_used,actual_eliminated,elim_under_pct,elim_under_rank,elim_judge_choice_pct,elim_judge_choice_rank,match_same_method,match_cross_method,elim_judge_pct_bt,elim_judge_rank_bt
1,1,rank,,Kelly Monaco,Kelly Monaco,Kelly Monaco,Kelly Monaco,False,False,Kelly Monaco,Kelly Monaco
1,2,rank,Trista Sutter,Trista Sutter,Trista Sutter,Kelly Monaco,Kelly Monaco,True,True,Kelly Monaco,Kelly Monaco
1,3,rank,Evander Holyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield,True,True,Evander Holyfield,Evander Holyfield
1,4,rank,Rachel Hunter,Rachel Hunter,John O'Hurley,John O'Hurley,John O'Hurley,False,True,John O'Hurley,John O'Hurley
1,5,rank,,Joey McIntyre,Joey McIntyre,Joey McIntyre,Joey McIntyre,False,False,Joey McIntyre,Joey McIntyre
1,6,rank,,Kelly Monaco,John O'Hurley,John O'Hurley,John O'Hurley,False,False,John O'Hurley,John O'Hurley
2,1,rank,Kenny Mayne,Kenny Mayne,Kenny Mayne,Master P,Kenny Mayne,True,True,Master P,Kenny Mayne
2,2,rank,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,Master P,Tatum O'Neal,True,True,Master P,Tatum O'Neal
2,3,rank,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,Master P,Giselle Fernandez,True,True,Master P,Giselle Fernandez
2,4,rank,Master P,Master P,Master P,Master P,Master P,True,True,Master P,Master P
2,5,rank,Tia Carrere,Tia Carrere,Tia Carrere,Tia Carrere,Tia Carrere,True,True,Tia Carrere,Tia Carrere
2,6,rank,George Hamilton,George Hamilton,George Hamilton,George Hamilton,George Hamilton,True,True,George Hamilton,George Hamilton
2,7,rank,Lisa Rinna,Lisa Rinna,Lisa Rinna,Jerry Rice,Jerry Rice,True,True,Jerry Rice,Jerry Rice
2,8,rank,,Jerry Rice,Stacy Keibler,Jerry Rice,Jerry Rice,False,False,Jerry Rice,Jerry Rice
3,1,percentage,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson,True,True,Tucker Carlson,Tucker Carlson
3,2,percentage,Shanna Moakler,Shanna Moakler,Shanna Moakler,Sara Evans,Sara Evans,True,True,Sara Evans,Sara Evans
3,3,percentage,Harry Hamlin,Harry Hamlin,Harry Hamlin,Jerry Springer,Harry Hamlin,True,True,Jerry Springer,Harry Hamlin
3,4,percentage,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Sara Evans,Vivica A. Fox,True,True,Sara Evans,Vivica A. Fox
3,5,percentage,Willa Ford,Willa Ford,Sara Evans,Sara Evans,Sara Evans,True,False,Sara Evans,Sara Evans
3,6,percentage,,Jerry Springer,Monique Coleman,Jerry Springer,Monique Coleman,False,False,Jerry Springer,Monique Coleman
