frac_switch_pct,frac_switch_rank,robust_pct,robust_rank
0.275,0.43,0.725,0.5700000000000001
0.15,0.32,0.85,0.6799999999999999
0.0,0.035,1.0,0.965
0.135,0.5,0.865,0.5
0.285,0.36,0.7150000000000001,0.64
0.475,0.0,0.525,1.0
0.23,0.35,0.77,0.65
0.225,0.165,0.775,0.835
0.35,0.325,0.65,0.675
0.0,0.16,1.0,0.84
0.2,0.085,0.8,0.915
0.005,0.005,0.995,0.995
0.145,0.0,0.855,1.0
0.505,0.46,0.495,0.54
0.32,0.375,0.6799999999999999,0.625
0.345,0.71,0.655,0.29000000000000004
0.365,0.885,0.635,0.11499999999999999
0.21,0.65,0.79,0.35
0.155,0.86,0.845,0.14
0.275,0.6,0.725,0.4
0.0,0.02,1.0,0.98
0.0,0.0,1.0,1.0
0.535,0.285,0.46499999999999997,0.7150000000000001
0.45,0.45,0.55,0.55
0.695,0.99,0.30500000000000005,0.010000000000000009
0.385,0.69,0.615,0.31000000000000005
0.365,0.56,0.635,0.43999999999999995
0.26,0.34,0.74,0.6599999999999999
0.05,0.11,0.95,0.89
0.1,0.235,0.9,0.765
0.06,0.015,0.94,0.985
0.0,0.075,1.0,0.925
0.0,0.0,1.0,1.0
0.575,0.17,0.42500000000000004,0.83
0.35,0.26,0.65,0.74
0.43,0.29,0.5700000000000001,0.71
0.195,0.18,0.8049999999999999,0.8200000000000001
0.215,0.155,0.785,0.845
0.145,0.115,0.855,0.885
0.08,0.295,0.92,0.7050000000000001
0.01,0.025,0.99,0.975
0.0,0.14,1.0,0.86
0.0,0.0,1.0,1.0
0.125,0.44,0.875,0.56
0.71,0.635,0.29000000000000004,0.365
0.5,0.365,0.5,0.635
0.305,0.62,0.6950000000000001,0.38
0.145,0.125,0.855,0.875
0.13,0.075,0.87,0.925
0.055,0.05,0.945,0.95
0.05,0.32,0.95,0.6799999999999999
0.01,0.33,0.99,0.6699999999999999
0.0,0.0,1.0,1.0
0.265,0.16,0.735,0.84
0.435,0.37,0.565,0.63
0.38,0.42,0.62,0.5800000000000001
0.68,0.72,0.31999999999999995,0.28
0.185,0.165,0.815,0.835
0.17,0.275,0.83,0.725
0.01,0.105,0.99,0.895
