effect,coef_judge,se_judge
intercept,1.1102148127392555,0.08981899580263959
age,-0.030201674156158136,0.001632377827279456
industry_Athlete,-0.19654295277429584,0.04905482882579594
industry_Model,-0.615756192492018,0.11346135375393579
industry_Singer/Rapper,-0.05957600919010074,0.05476856265712377
industry_TV Personality,-0.3523167396952182,0.053098340782304215
industry_News Anchor,-0.21012502229987198,0.21616582499764805
industry_Sports Broadcaster,-0.3301171149425082,0.2720392731322895
industry_Beauty Pagent,-1.1054924288033363,0.6010740627090955
industry_Racing Driver,0.2467665998074062,0.16658669518964686
industry_Magician,-1.4670577625469639,0.6147243463500079
industry_Radio Personality,-0.6092139523103723,0.22353242426938744
industry_Comedian,-0.14623247208271437,0.1201788132312211
industry_Entrepreneur,-0.5946232384536134,0.2112588753902279
industry_Politician,-1.0487074516462116,0.2346295147627949
industry_Astronaut,-0.3511532048596559,0.5466527096485911
industry_Fashion Designer,0.03769513915380625,0.4399943718191622
industry_Social Media Personality,-0.10661140880270306,0.11385626600876178
industry_Motivational Speaker,-0.07840368123620252,0.2903409269395935
industry_Military,-0.37096157030402555,0.2823075553766044
industry_Journalist,-1.2698017616687522,0.6191505258109679
industry_Musician,0.26067686982974125,0.28121154432700407
industry_Producer,0.645822242764762,0.288446326000726
industry_Fitness Instructor,-0.3179956632790465,0.2803970508779339
industry_Con artist,-1.52377154000798,0.6957363208783359
industry_Conservationist,0.19711606529560438,0.4275899233910984
industry_Social media personality,0.22571575933780785,0.42736002203012713
