partner,effect_fan
Charlotte Jorgensen,0.3445851921647872
Ashly DelGrosso,0.1678418734724894
Derek Hough,0.1641803552882676
Kym Johnson,0.1503093623603696
Edyta Sliwinska,0.14056473405494538
Jonathan Roberts,0.12388914238148087
Corky Ballas,0.10025835110321267
Cheryl Burke,0.09260896323637784
Maksim Chmerkoskiy,0.09031275004597247
Damian Whitewood,0.08720185145910925
Julianne Hough,0.07261994323478758
Alan Bersten (Rashad Jennings week 9),0.0635812058870661
Tristan MacManus,0.054331895703699465
Lacey Schwimmer,0.051521270397420875
Tony Dovolani,0.04050554495977298
Karina Smirnoff,0.039107993233609285
Louis van Amstel,0.03598862174039054
Alec Mazo,0.03085292777978981
Emma Slater/Kaitlyn Bristowe (week 9),0.02739553890867296
Lindsay Arnold,0.024365982940224858
Daniella Karagach (Rumer Willis week 9),0.018966210807257813
Anna Trebunskaya,0.01595005971836408
Mark Ballas,0.0062402799062084135
Brian Fortuna,2.0173995647278644e-17
Ezra Sosa,-8.405831519699434e-17
Witney Carson (Xoshitl Gomez week 9),-2.7571127384614145e-16
Val Chmerkovskiy (Joey Graziadei week 9),-5.245238868292447e-16
Henry Byalikov,-0.004690295502824619
Dmitry Chaplin,-0.005111893661057529
Peta Murgatroyd,-0.00579452321874294
Daniella Karagach,-0.007888104417845971
Val Chmerkovskiy,-0.011923930884369703
Emma Slater,-0.012111831728174476
Witney Carson,-0.01265523675492167
Jenna Johnson,-0.014510710651063291
Rylee Arnold,-0.018323210639383206
Valentin Chmerkovskiy,-0.01909772494544374
Fabian Sanchez,-0.019109901736314078
Sharna Burgess,-0.030289996032949358
Sasha Farber,-0.030456120244632342
Kym Herjavec,-0.031874629993038486
Tyne Stecklein,-0.03712474957390304
Jesse DeSoto,-0.03716118995374466
Elena Grinenko,-0.040279973997508725
Anna Demidova,-0.046864653577415816
Andrea Hale,-0.048428649289482456
Ezra Sosa (Apolo Anton Ohno week 9),-0.05106462130019267
Alan Bersten,-0.05886858973671664
Allison Holker,-0.058991814914612514
Nick Kosovich,-0.061553060513711066
Artem Chigvintsev,-0.06570203229305929
Inna Brayer,-0.06800233551083901
Chelsie Hightower,-0.10036035109957489
Koko Iwasaki,-0.11088924045007675
Pasha Pashkov,-0.11607053175694919
Jan Ravnik,-0.11787611502789236
Keo Motsepe,-0.13324281490110096
Gleb Savchenko,-0.1535470915191325
Brandon Armstrong,-0.20293748203975584
Britt Stewart,-0.2103766429178885
