Partner,Judge_Effect,Fan_Effect
Emma Slater,0.07810549595599109,0.041348752717352964
Nick Kosovich,0.07766821926016584,-0.15384378544292146
Sharna Burgess,0.11621459920150103,0.041348640883188605
Julianne Hough,0.2158888627061412,0.14693825310694944
Lindsay Arnold,0.16945939357203005,0.07837595045263995
Anna Trebunskaya,-0.10198728231099738,0.06761707567923445
Fabian Sanchez,-0.13050426617951258,-0.014700727603610835
Lacey Schwimmer,-0.16317791523614464,0.09777378459678929
Andrea Hale,-1.4611932945250268,-0.45628107872556467
Gleb Savchenko,0.07034637209418458,-0.14950895456210245
Pasha Pashkov,0.3014548163986114,-0.11399584009342734
Koko Iwasaki,-0.5351640174205,-0.24953211076867637
Tristan MacManus,0.04259088122038976,0.1513525140715775
Val Chmerkovskiy (Joey Graziadei week 9),0.45000027998482806,0.1292690151374444
Allison Holker,0.0056543690984320605,-0.04964215163870478
Alec Mazo,-0.09888904739110202,0.09624889461660033
Charlotte Jorgensen,1.1726331648509905,1.1853995264363146
Jesse DeSoto,-0.5265747948852141,-0.22758219169686558
Ezra Sosa,-1.1413703377216462,-0.590172748961955
Brandon Armstrong,0.14351774295702474,-0.22829857608745333
Cheryl Burke,0.29574229882147823,0.1380047201235663
Dmitry Chaplin,0.2749542667514649,0.030898930564490702
Mark Ballas,0.31739241868519197,0.04116751354040404
Daniella Karagach,0.33217305971770067,0.034484309432201134
Elena Grinenko,-1.3612280995064874,-0.08420389821371113
Alan Bersten (Rashad Jennings week 9),0.8424849434316839,0.2031932919490798
Witney Carson (Xoshitl Gomez week 9),0.5101724521909541,-0.08767058203818492
Witney Carson,0.31831719799137426,0.024764532118011683
Maksim Chmerkoskiy,0.39833443796676854,0.1610244650995482
Kym Herjavec,-0.5065567993981617,-0.07145110259327112
Karina Smirnoff,0.002873072395247228,0.07752058662326489
Damian Whitewood,0.9780754847628189,0.33177504274389863
Rylee Arnold,-0.3187879209647754,0.0009179740673944461
Edyta Sliwinska,0.042185150582609326,0.2103827625647331
Henry Byalikov,-1.1210962317491129,0.0021455278940344796
Tony Dovolani,0.18850615209651556,0.08339908998527959
Daniella Karagach (Rumer Willis week 9),0.6231333384217146,0.06827336419830951
Inna Brayer,-0.5678079240592171,-0.9418640356386425
Kym Johnson,0.40158503258476963,0.19276875149453815
Ezra Sosa (Apolo Anton Ohno week 9),0.29302694516430094,-0.08249428070633633
Brian Fortuna,-0.5238719481420324,-0.4260013484644497
Keo Motsepe,-0.3224443481054031,-0.14686114683159804
Britt Stewart,-0.09486518837876814,-0.2578928670004861
Val Chmerkovskiy,0.45438365035819483,-0.0012716769771149716
Chelsie Hightower,-0.24813451664771566,-0.09061766885445255
Corky Ballas,0.3174625956114534,0.30906907288377067
Anna Demidova,-0.5160294010316996,-0.0878668047653208
Tyne Stecklein,-1.4039466246029317,-0.15719954636105543
Peta Murgatroyd,0.12931683914456749,0.038821009389112975
Valentin Chmerkovskiy,0.3871424338318095,0.013834677438941852
Ashly DelGrosso,-0.7150416452930943,0.35904358148524607
Artem Chigvintsev,0.5652260604776406,-0.029321138916194762
Jenna Johnson,0.23160559632277605,0.0012917541678177102
Jonathan Roberts,0.2584548566121328,0.24205723049000044
Derek Hough,0.7560741011720624,0.2154821367808446
Sasha Farber,0.40722760810328007,0.004365701823921049
Louis van Amstel,-0.03227099915970849,0.08269124843371176
Emma Slater/Kaitlyn Bristowe (week 9),0.026901335154856182,0.12437062523780557
Jan Ravnik,-0.30534292294440557,-0.3291460452859194
