Partner,Judge_Effect,Fan_Effect
Emma Slater,0.07810549595599109,0.20993097048346981
Nick Kosovich,0.07766821926016584,-0.9570406422978516
Sharna Burgess,0.11621459920150103,0.10977437233626273
Julianne Hough,0.2158888627061412,-0.045032160721859796
Lindsay Arnold,0.16945939357203005,0.17143376301256924
Anna Trebunskaya,-0.10198728231099738,0.011932537386920045
Fabian Sanchez,-0.13050426617951258,-0.14193161375192298
Lacey Schwimmer,-0.16317791523614464,0.21098849633821726
Andrea Hale,-1.4611932945250268,0.0839717079504601
Gleb Savchenko,0.07034637209418458,-0.056790573828923566
Pasha Pashkov,0.3014548163986114,-0.20797650377215604
Koko Iwasaki,-0.5351640174205,0.5303197763244476
Tristan MacManus,0.04259088122038976,0.10899394260978337
Val Chmerkovskiy (Joey Graziadei week 9),0.45000027998482806,0.14127460909431677
Allison Holker,0.0056543690984320605,-0.10692720428473794
Alec Mazo,-0.09888904739110202,-0.15101317306191375
Charlotte Jorgensen,1.1726331648509905,-0.0013640225447159177
Jesse DeSoto,-0.5265747948852141,-0.3485860165264068
Ezra Sosa,-1.1413703377216462,-0.2773955497423974
Brandon Armstrong,0.14351774295702474,-0.3225304187596508
Cheryl Burke,0.29574229882147823,0.02574754385036053
Dmitry Chaplin,0.2749542667514649,-0.18779138282944724
Mark Ballas,0.31739241868519197,-0.1346812185923814
Daniella Karagach,0.33217305971770067,0.20771299155406353
Elena Grinenko,-1.3612280995064874,0.6864908529193932
Alan Bersten (Rashad Jennings week 9),0.8424849434316839,0.22023785141064628
Witney Carson (Xoshitl Gomez week 9),0.5101724521909541,-0.11962148418284156
Witney Carson,0.31831719799137426,0.016497633631233938
Maksim Chmerkoskiy,0.39833443796676854,-0.11426576776184412
Kym Herjavec,-0.5065567993981617,0.1632111186026005
Karina Smirnoff,0.002873072395247228,0.05654414344565011
Damian Whitewood,0.9780754847628189,-0.24860264668872434
Rylee Arnold,-0.3187879209647754,0.3925894881839252
Edyta Sliwinska,0.042185150582609326,0.09047811612302198
Henry Byalikov,-1.1210962317491129,0.04443070256682171
Tony Dovolani,0.18850615209651556,-0.13615343217683962
Daniella Karagach (Rumer Willis week 9),0.6231333384217146,0.08741037147371497
Inna Brayer,-0.5678079240592171,-0.8438028733173463
Kym Johnson,0.40158503258476963,-0.03896802585389446
Ezra Sosa (Apolo Anton Ohno week 9),0.29302694516430094,0.15487816058282347
Brian Fortuna,-0.5238719481420324,-0.7923268791612412
Keo Motsepe,-0.3224443481054031,0.1515620970230182
Britt Stewart,-0.09486518837876814,0.04979388033295092
Val Chmerkovskiy,0.45438365035819483,-0.4615173918985689
Chelsie Hightower,-0.24813451664771566,0.03875449445846748
Corky Ballas,0.3174625956114534,0.107455041028361
Anna Demidova,-0.5160294010316996,0.5705500796884088
Tyne Stecklein,-1.4039466246029317,0.6346537157581017
Peta Murgatroyd,0.12931683914456749,0.100819890796799
Valentin Chmerkovskiy,0.3871424338318095,-0.12154701219458126
Ashly DelGrosso,-0.7150416452930943,0.4712301437099402
Artem Chigvintsev,0.5652260604776406,-0.19321621612274203
Jenna Johnson,0.23160559632277605,0.08204278094956767
Jonathan Roberts,0.2584548566121328,-0.034381505184528996
Derek Hough,0.7560741011720624,-0.19697214411292252
Sasha Farber,0.40722760810328007,-0.05124185110060621
Louis van Amstel,-0.03227099915970849,0.010756829777858218
Emma Slater/Kaitlyn Bristowe (week 9),0.026901335154856182,0.4692213316388266
Jan Ravnik,-0.30534292294440557,-0.12001172457195512
