Partner,Judge_Effect,Survival_Effect
Alan Bersten (Rashad Jennings week 9),0.36412397647032935,0.15911351004461816
Alec Mazo,-0.04489577020894926,-0.07085182502548037
Allison Holker,-0.10208315114366719,-0.028555591956681208
Andrea Hale,0.0,-0.027742841761989077
Anna Demidova,-0.3266940424009757,0.22475280254805108
Anna Trebunskaya,-0.1253400750294753,-0.028941083504648326
Artem Chigvintsev,0.2546140709168046,-0.02623366864799524
Ashly DelGrosso,-0.4124225083645827,0.11229020309057892
Brandon Armstrong,0.041806004500183014,-0.1398383529784824
Brian Fortuna,-0.24476652337635996,-0.2923629986596026
Britt Stewart,-0.009198127549129714,0.04674474652245532
Charlotte Jorgensen,0.5807587101869872,0.015299606336309564
Chelsie Hightower,-0.17833574350245535,-0.012967695973704459
Cheryl Burke,0.08952191780847756,0.04075302422353772
Corky Ballas,0.010579811249160923,0.06507568947375887
Damian Whitewood,0.34390273967683116,-0.05097704015676429
Daniella Karagach,0.16111998055366122,0.10131805892584583
Daniella Karagach (Rumer Willis week 9),0.34161047088822205,0.0799240296831713
Derek Hough,0.2569540137712657,-0.01994127703876795
Dmitry Chaplin,-0.05054231958974974,-0.06102452614707956
Edyta Sliwinska,0.0046476866187569466,0.04281917010175829
Elena Grinenko,-0.783843090504053,0.21493721005482608
Emma Slater,0.06116505646042991,0.08365216322520506
Emma Slater/Kaitlyn Bristowe (week 9),-0.02556114107736769,0.24422810079898613
Ezra Sosa,-0.8594516621881243,-0.13698054580580765
Ezra Sosa (Apolo Anton Ohno week 9),0.18871028324329184,0.11678226325700525
Fabian Sanchez,-0.274945379954495,-0.04536990369533937
Gleb Savchenko,0.08312649033877034,-0.06938177644564002
Henry Byalikov,0.0,-0.014239381827163975
Inna Brayer,0.0,-0.34354178040783045
Jan Ravnik,-0.11433235778948643,-0.05264388486478923
Jenna Johnson,0.1575534210071761,0.029691038264607363
Jesse DeSoto,0.36620960520374357,-0.17368596075330914
Jonathan Roberts,0.11831238716996578,-0.10074656713882407
Julianne Hough,0.03536744852960731,0.026992024898027104
Karina Smirnoff,-0.08325955216335575,0.021451265356429553
Keo Motsepe,-0.02581518123689093,0.038074354219860294
Koko Iwasaki,-0.13465927692638446,0.04320399668675966
Kym Herjavec,-0.024605345553369254,0.0526621262801471
Kym Johnson,0.10913750469972275,-0.006064525309864655
Lacey Schwimmer,-0.20031049101574316,0.07406340517431845
Lindsay Arnold,0.03874887381648395,0.09185542009943495
Louis van Amstel,-0.09313524081720854,-0.030652247030744064
Maksim Chmerkoskiy,0.1144761240700881,-0.05149311051319587
Mark Ballas,0.0846617762451657,-0.0656039754779113
Nick Kosovich,-0.25244385603201447,-0.3478449234482627
Pasha Pashkov,0.1946080001633767,-0.07285532537598946
Peta Murgatroyd,0.04479321605964119,0.05787350400564945
Rylee Arnold,-0.12174274837403075,0.14394410311462422
Sasha Farber,0.18935575278481248,-0.006732034824952789
Sharna Burgess,-0.008605427687969971,0.035783695908493306
Tony Dovolani,0.06997539254194421,-0.05588027244830701
Tristan MacManus,-0.13897413860934027,0.025320462529805996
Tyne Stecklein,-0.5327408677953505,0.18050450796960602
Val Chmerkovskiy,0.2433525214297238,-0.16387368560798304
Val Chmerkovskiy (Joey Graziadei week 9),0.20318523505719144,0.08270607048466018
Valentin Chmerkovskiy,0.1404923255513003,-0.0281453343057956
Witney Carson,0.13259244001979434,0.036628305365568006
Witney Carson (Xoshitl Gomez week 9),0.14324078185762013,0.03672727848880647
